x,y
3.826,6.003
7.054,1.925
2.283,0.040
1.206,0.591
9.901,0.675
8.676,7.330
2.791,2.636
7.887,0.086
9.068,4.696
3.878,7.999
8.487,1.320
7.089,3.947
3.736,2.672
0.663,2.694
3.859,0.069
9.628,0.019
7.630,6.652
8.438,-0.084
0.402,6.706
5.231,3.367
7.993,-0.029
8.088,1.378
3.939,0.651
7.237,3.377
9.764,6.599
5.583,2.047
2.498,1.944
1.473,1.969
1.680,0.640
3.841,4.611
5.663,4.696
6.053,0.621
7.480,-0.071
5.365,0.030
3.590,3.380
3.361,2.675
7.151,3.970
0.121,8.030
7.792,3.330
4.944,1.343
0.989,5.287
7.713,0.091
7.934,2.642
1.237,2.069
3.877,0.703
4.173,-0.004
1.788,4.606
8.976,0.063
8.122,0.692
6.823,0.001
3.925,5.289
4.222,0.711
6.440,6.002
6.435,2.659
4.022,8.088
1.497,5.320
8.632,0.708
3.504,0.013
0.185,-0.014
2.340,5.355
9.239,0.036
7.173,6.064
2.127,-0.069
7.135,0.055
8.027,0.047
3.610,7.357
4.711,2.725
1.095,10.057
1.057,9.933
3.962,0.645
1.783,6.049
7.171,2.046
6.784,0.046
0.090,4.705
7.443,2.581
1.617,2.645
1.760,4.065
2.052,4.007
2.086,-0.010
3.481,-0.108
8.207,0.698
3.402,0.003
4.482,7.371
0.702,4.666
2.497,0.687
9.169,1.361
2.905,2.091
2.924,0.642
2.439,2.703
7.800,7.380
7.569,5.954
4.491,0.608
7.918,1.963
6.456,6.029
3.306,6.049
0.374,3.340
6.914,5.256
7.310,1.306
5.825,9.248
7.449,2.688
8.525,2.657
1.580,1.934
7.766,-0.077
0.913,0.089
2.312,0.613
0.619,1.330
3.244,2.001
4.845,2.630
7.821,1.306
3.606,10.054
9.287,2.679
7.299,4.744
2.892,8.608
6.718,0.784
7.972,3.352
3.211,1.333
8.883,3.283
4.407,4.039
7.010,1.334
5.878,0.788
5.214,1.364
4.042,2.000
6.507,7.408
8.470,0.638
6.197,5.281
2.328,1.347
6.910,3.973
7.131,1.956
5.959,1.311
5.672,0.596
7.229,1.399
5.436,6.651
6.430,4.634
5.427,0.673
8.410,3.867
5.797,0.012
9.502,2.009
4.591,4.045
7.906,3.375
8.123,4.687
7.756,2.727
3.316,1.978
4.595,4.657
6.694,0.651
8.268,-0.051
8.153,-0.050
5.661,8.683
3.751,7.982
4.036,9.983
1.861,4.706
5.331,2.644
1.974,1.296
8.787,0.727
3.192,2.607
1.575,0.022
3.162,1.993
5.710,7.330
3.239,0.680
7.887,7.328
8.658,2.769
5.943,3.374
8.655,-0.007
3.727,9.297
3.102,1.326
3.543,5.945
2.151,0.042
6.742,0.081
7.891,0.716
0.188,1.268
5.406,8.686
2.815,1.320
7.060,3.982
1.740,0.609
0.143,1.921
8.115,-0.043
3.130,0.062
7.363,6.655
7.666,7.427
6.461,0.741
4.294,8.019
4.607,-0.085
9.115,0.001
1.560,3.411
6.247,1.276
6.486,1.376
7.158,0.725
2.077,0.031
3.298,2.025
4.168,1.328
9.196,3.345
6.668,5.277
7.389,0.651
6.717,0.647
8.853,1.923
3.110,8.021
6.537,0.628
9.235,5.997
4.818,4.712
3.371,7.929
8.467,3.334
1.197,2.010
6.557,0.027
1.587,1.396
3.616,9.974
3.194,2.786
1.517,1.443
0.372,8.055
3.879,2.012
0.232,-0.006
7.829,0.041
2.320,3.352
8.813,0.610
4.671,-0.029
6.502,8.673
1.851,0.676
6.628,0.622
5.779,8.658
3.263,0.614
0.041,1.449
3.230,0.633
1.994,-0.000
5.807,0.675
6.430,1.313
6.722,5.974
7.984,5.935
2.534,0.667
6.236,6.069
3.456,3.344
1.672,5.234
7.751,5.333
7.805,6.026
1.931,-0.024
9.054,0.639
