x,y
-1.070,1.616
1.953,0.210
1.341,3.565
-0.867,1.778
-2.372,-1.914
1.007,-0.368
-0.266,-0.665
0.923,-4.769
1.752,-1.095
0.331,2.160
-0.298,5.083
-0.779,-0.890
0.472,-1.051
-2.309,-1.757
-0.747,-0.589
-0.054,1.963
0.762,-0.748
0.766,2.029
-0.003,3.848
1.511,-1.265
-1.893,-0.772
1.428,5.775
-0.030,3.181
-1.269,3.831
0.520,4.061
0.279,-1.843
2.666,1.499
-2.481,1.749
-0.485,1.852
-5.036,0.113
0.940,2.756
-1.804,-0.108
5.037,-0.442
-0.419,-2.991
-0.921,-0.280
0.371,-4.077
-4.946,-0.636
1.803,0.767
-0.556,2.003
1.100,-1.917
0.706,1.993
-0.692,-0.147
-1.878,2.759
-0.445,-5.055
0.553,-4.260
1.173,1.659
-1.986,-0.245
-1.530,2.507
0.697,1.918
0.064,-2.858
3.350,-3.485
-0.746,2.173
3.107,-0.100
0.283,-1.120
-3.830,-0.276
2.863,1.087
1.105,2.778
-1.431,-3.609
-2.572,-1.355
1.715,-2.350
0.559,-0.673
0.650,3.982
-4.420,-2.382
0.614,2.866
0.846,1.695
-1.066,-2.700
-0.941,-3.759
-2.512,1.438
0.272,-1.816
-1.941,-3.701
0.665,-4.091
-0.765,-1.869
3.077,4.053
0.402,0.936
2.308,-1.633
-1.906,-0.155
0.683,-3.860
1.743,2.631
-0.258,1.024
1.917,-0.922
-1.805,-0.530
-3.911,0.235
2.962,0.032
0.890,3.949
1.796,1.120
-0.705,1.870
-2.640,1.248
-0.774,-1.776
0.822,0.517
-1.305,1.415
-0.983,-2.681
0.681,-1.062
3.658,1.671
-4.736,-1.156
-1.602,-1.149
1.548,1.273
-1.899,0.822
-1.969,2.350
3.434,2.362
2.518,-4.382
1.336,-1.510
0.797,-1.903
1.650,-0.920
-0.731,-1.801
-1.820,3.706
-2.826,0.869
-1.615,-1.287
0.124,-1.831
3.290,3.717
-1.020,-1.709
-2.156,-2.212
2.939,0.084
1.741,-0.601
-0.690,-0.482
0.759,1.706
-0.730,-3.912
-2.837,-2.767
0.868,-1.896
-1.539,2.568
1.565,2.505
1.824,-2.440
-1.334,2.676
-1.811,0.574
-2.316,-1.741
1.867,-0.780
-1.942,2.305
3.920,-0.614
-1.095,1.842
-3.615,-4.672
2.425,1.764
-0.962,-0.381
1.329,-1.397
-0.747,-0.657
-2.256,-1.855
0.267,-1.007
-3.586,3.496
0.454,-3.013
3.149,-2.337
-3.794,1.805
1.999,2.319
-1.391,1.535
1.232,-1.441
-1.820,0.422
0.769,0.813
-2.074,-4.811
3.270,-0.054
2.051,-4.463
-1.947,0.735
0.122,0.850
-2.714,-1.329
-0.632,-2.840
-3.364,-1.901
-1.531,-1.383
1.525,-5.748
-1.634,2.435
-0.334,2.017
-0.616,1.963
-4.851,1.486
3.650,-3.516
3.079,2.497
3.496,-3.539
-2.226,4.492
-0.618,3.783
0.754,1.803
4.944,3.450
1.841,-0.786
0.577,-3.929
-0.429,-2.105
2.381,-2.144
-0.376,2.848
-2.063,-1.731
2.016,0.259
-3.003,-0.267
-3.261,2.308
-1.891,0.648
-1.083,-1.507
-2.919,1.044
-0.979,3.947
-1.737,3.732
0.711,2.984
0.142,-0.859
0.729,-0.808
3.189,2.089
-2.681,1.629
-2.288,-1.836
2.832,0.687
-3.402,5.075
-3.702,-3.435
2.083,0.086
0.141,-1.949
-2.920,-0.650
-0.789,-0.708
-1.074,-2.827
4.471,-2.397
-0.288,-2.973
-2.302,-3.041
0.323,2.103
-3.814,1.373
1.180,-2.819
-2.756,-0.798
3.480,-1.813
-1.032,1.729
1.299,5.808
-0.254,-0.923
1.940,1.884
-2.130,0.108
1.864,-0.580
0.891,-1.754
-1.694,3.708
2.933,2.736
3.014,-0.186
6.439,2.971
2.886,4.199
-0.843,0.373
-1.112,0.049
-1.134,1.401
2.755,-3.037
-5.012,-0.533
-0.983,2.793
0.621,1.945
2.006,-0.003
-3.861,1.386
1.987,3.369
2.859,1.201
-1.673,2.457
1.664,-1.275
2.926,0.460
-2.761,0.170
1.762,-0.949
-2.031,-2.130
1.986,-0.253
-2.164,-2.103
-1.251,3.772
-0.467,-1.991
2.348,-1.789
-0.805,-0.349
1.722,1.030
-0.516,-6.035
-4.048,-0.585
-0.243,-0.965
-0.852,-3.912
-0.936,-1.506
4.094,0.785
0.622,-0.742
-0.770,-0.636
-2.866,-1.208
1.472,-2.643
0.871,-0.385
2.678,1.013
0.172,-2.043
-2.002,-0.434
-4.392,-4.073
0.897,-2.844
-1.926,0.506
-1.872,1.016
0.974,2.758
0.640,-0.987
2.760,-1.304
-0.163,3.063
0.326,2.948
-0.480,0.849
-2.463,3.052
1.174,1.517
-1.415,-3.855
-3.917,-3.445
0.175,2.946
-1.330,-2.628
-0.282,0.879
-0.478,0.876
0.390,3.113
-2.304,-4.297
5.687,-1.466
2.440,-1.838
-1.262,-3.851
-0.897,-2.888
0.118,-0.982
1.818,0.961
2.830,2.843
5.953,-0.148
-3.904,1.502
-4.773,1.874
1.805,-1.000
-4.881,-0.852
-5.002,-0.840
-2.293,-3.304
-0.235,1.869
0.888,-0.517
0.295,3.061
-1.201,1.530
0.020,-3.985
1.897,2.070
-0.518,-1.954
-0.809,-0.761
-2.811,-0.146
3.008,2.257
-2.132,-3.282
-0.315,1.991
1.815,-5.783
-0.164,3.008
-2.307,-2.045
-1.789,0.878
0.861,-0.354
-1.016,-3.741
0.251,1.987
1.627,-0.734
-1.345,2.497
2.990,-2.842
3.648,0.822
-1.286,2.557
0.265,1.002
-0.139,3.044
0.406,-3.152
1.802,0.953
-0.900,0.527
-0.951,3.887
-0.297,-3.234
3.958,0.043
1.466,2.596
-1.852,-2.362
-1.785,-0.544
1.723,2.416
0.259,1.863
0.513,4.874
3.229,4.032
-1.646,1.165
0.901,2.873
-5.644,-2.203
2.677,-1.556
1.019,-0.293
0.233,2.126
2.912,-0.468
1.829,2.529
-1.298,1.408
2.924,0.067
0.322,-3.928
-0.307,-0.894
6.668,-4.622
2.537,1.793
2.871,-0.999
2.779,4.329
-2.461,1.485
2.583,3.110
1.808,-0.992
-2.153,3.576
5.877,1.548
-1.648,-2.633
0.788,-2.695
0.949,0.146
0.372,-2.884
-1.534,-1.128
-0.438,-0.884
-0.347,-0.745
-1.165,1.685
0.306,1.809
2.311,-1.815
-1.037,-0.139
-1.871,-0.434
-3.974,0.674
1.933,0.890
-1.849,1.041
-2.137,-1.873
-0.560,0.715
0.064,-1.966
1.097,-2.724
0.501,3.146
-1.500,-1.356
0.864,-3.769
-0.578,-0.775
-2.041,4.590
2.920,-0.393
-2.150,0.158
-2.395,-1.391
-2.042,3.264
0.360,-1.920
-1.859,-1.022
-2.410,3.241
-0.636,0.660
-2.194,3.481
0.828,0.252
-2.388,-1.813
-1.085,0.285
-2.014,-3.303
0.216,-1.768
-1.787,3.463
0.506,-2.021
0.582,-5.043
-0.714,-1.910
1.160,-3.762
0.225,-2.903
2.787,-1.121
4.213,-0.268
-2.783,0.531
0.042,2.113
-0.150,2.945
6.039,1.234
-0.286,-2.043
3.736,-1.468
-0.352,0.864
2.902,-2.698
-0.849,-0.518
-3.601,-1.244
-3.958,3.093
2.960,-0.621
2.163,1.938
-3.939,-3.076
-0.334,1.963
-1.907,-0.468
1.352,-2.808
0.694,-5.869
2.180,2.397
-2.934,0.819
-2.617,-3.072
3.377,-3.620
-0.655,1.958
0.729,-4.018
0.333,-9.067
-1.558,-2.569
-5.098,-0.553
1.157,-3.786
3.689,-1.653
2.639,0.738
-3.822,1.217
-2.346,2.059
2.709,-1.116
-1.638,-1.194
2.802,-4.216
0.554,-2.013
0.552,-0.864
0.139,-2.033
0.748,0.902
-1.616,1.104
-1.605,-1.099
0.642,-0.732
-0.504,2.894
0.803,-2.903
-1.336,2.596
-1.887,-0.675
1.512,1.429
2.663,1.168
-0.290,-1.919
-0.284,-2.123
5.046,-0.275
0.627,-0.816
2.440,-1.180
1.244,-1.724
1.403,3.602
-1.987,-0.923
0.205,-2.950
-0.650,0.842
-3.571,-2.097
-2.168,-0.327
-1.379,-4.859
0.602,-0.868
-0.394,1.928
0.237,1.943
-2.020,-4.696
-0.923,0.308
1.680,-1.009
0.667,4.951
0.622,3.030
0.759,-1.877
2.029,0.361
0.534,-1.986
1.219,-2.811
-1.099,2.927
-2.757,-0.918
-5.974,-1.183
0.759,1.909
-0.784,-0.791
0.362,4.178
-3.168,-0.124
-0.710,0.624
-2.538,1.643
-0.661,5.062
-1.303,1.420
-0.918,1.738
-0.716,-2.958
-1.927,0.375
2.936,-0.662
-3.498,-1.510
2.156,-2.070
1.670,0.773
0.952,-1.883
0.555,1.985
-5.006,0.671
-1.005,0.497
-0.239,1.872
-4.049,0.140
0.110,2.098
3.839,-0.922
-1.922,-3.426
-1.648,1.185
-3.920,-0.488
-0.990,0.487
0.613,0.776
-1.482,-2.800
2.060,-0.223
0.159,-1.070
-2.291,3.256
-4.548,-1.663
1.777,-0.836
1.819,2.367
0.328,-1.871
1.567,2.811
-1.960,-0.532
1.163,0.027
1.813,-0.630
2.687,-3.193
-0.696,4.033
1.913,0.488
2.147,-2.074
0.036,1.860
2.210,2.151
0.758,-3.005
0.536,-3.781
-1.929,-0.324
-1.374,-2.521
-1.463,1.169
-1.161,1.653
3.192,-2.140
0.356,-2.020
-0.540,-0.726
1.077,1.574
-1.760,0.975
-2.549,-4.320
-0.447,-3.952
1.937,0.377
-0.731,3.096
-0.986,0.358
0.895,3.831
3.981,0.766
-1.938,-0.636
3.090,3.729
-2.665,1.235
-0.221,-2.856
-0.784,-1.887
-3.083,-0.023
-3.647,-1.113
1.048,0.008
-1.975,2.227
-0.067,-0.947
-2.902,0.898
-0.956,-2.792
-2.922,2.610
-1.574,1.172
-0.738,0.515
1.848,-3.485
-1.990,-0.451
1.210,-1.414
2.330,-3.356
-1.486,2.736
0.360,3.805
-2.722,4.118
-0.826,1.848
-0.946,-0.002
1.094,-1.787
3.030,2.421
-1.093,2.902
-3.792,1.107
-3.239,-2.303
-0.902,-1.589
-0.012,-5.055
-2.039,3.427
-0.557,2.794
1.902,-2.478
2.627,1.426
-0.822,3.852
-2.305,4.469
-0.067,-1.083
3.035,0.546
3.730,-0.997
-3.031,-0.194
-1.275,-3.769
-0.480,1.927
0.217,2.893
1.004,-0.118
1.833,-0.189
-2.444,1.251
-1.770,0.680
1.756,0.440
1.828,-2.169
-2.364,-1.903
2.850,0.873
1.427,-3.693
-3.799,-0.449
1.278,1.805
-0.705,2.946
1.812,-2.494
2.195,-0.025
-2.544,-1.610
-0.541,-5.153
2.669,-1.016
-0.588,5.027
-3.205,-2.442
1.507,1.183
-2.096,-2.025
1.405,-2.446
-0.240,-2.924
-1.771,-3.556
-3.281,-5.079
1.476,1.527
0.840,1.969
1.819,0.381
0.671,3.866
5.730,0.136
-1.771,-0.585
0.288,-2.991
-1.160,2.847
-5.336,-2.304
2.841,-0.884
-1.040,-3.877
-2.154,-0.408
1.828,-3.358
0.340,-0.781
3.237,-0.010
-0.715,-0.439
1.253,3.753
-0.937,3.757
-0.259,-3.970
0.645,3.088
1.076,-0.235
-3.656,1.821
-0.519,-2.928
1.318,1.253
2.585,2.810
-4.898,1.207
-0.951,-0.025
-1.782,-0.459
1.971,0.487
-2.163,-2.165
0.248,-0.900
-1.910,-1.129
1.147,-3.705
-2.841,-1.009
1.678,-1.012
1.889,-0.529
-0.854,-0.103
-1.238,-1.685
2.415,-1.540
2.497,1.748
-0.031,0.892
-2.978,-0.149
-1.947,-0.574
-0.880,-0.452
-1.955,-0.720
0.641,1.945
0.635,-3.846
-2.887,0.427
-1.827,0.460
-1.084,-0.218
1.221,1.637
-4.391,-4.215
-0.750,3.782
-0.531,1.864
-2.722,0.804
-2.064,-3.499
1.035,-0.374
3.086,-2.554
3.011,0.097
-0.805,0.706
2.913,2.753
1.274,-3.787
-1.221,1.632
0.457,-2.031
3.477,3.448
1.339,-1.587
2.731,-1.334
2.463,1.733
-5.095,0.779
-2.763,4.333
-2.994,0.385
-3.512,-1.942
-3.876,0.961
-2.945,0.372
-2.612,-1.584
-0.524,3.815
-0.444,2.794
-1.953,-0.733
-0.772,2.847
1.216,4.841
3.024,-0.740
-2.007,2.427
0.000,2.985
-0.847,1.940
4.954,-0.315
3.481,-3.770
-2.806,1.434
-3.019,1.076
3.611,1.396
-0.178,1.946
4.991,-0.383
-2.842,0.562
1.622,-1.046
0.071,-3.061
-2.954,-0.571
2.428,-1.958
-1.993,-0.250
-0.870,0.768
-0.479,1.862
4.581,-2.171
-0.957,0.180
-4.894,1.234
-1.388,5.918
0.644,-1.882
-0.601,-2.035
-0.494,-1.830
0.102,-1.037
-1.910,0.773
6.933,0.771
1.495,-3.712
1.541,-1.029
-0.276,2.976
-1.831,-0.027
-1.040,-0.072
2.498,3.162
-0.602,-2.951
0.619,2.893
-3.040,0.333
1.745,-0.658
-4.813,-3.414
1.788,0.785
-4.493,1.746
-3.517,1.596
-4.032,5.729
-3.267,5.114
1.838,-0.813
-2.811,4.374
-1.557,-1.054
-0.827,-1.672
-3.879,-3.308
0.466,-1.978
0.114,2.031
-2.742,2.960
0.946,-0.100
0.522,0.930
-3.236,-2.190
-0.694,2.845
-3.013,2.626
1.721,0.723
-0.058,-2.228
3.067,-0.684
-2.053,-0.074
-0.973,-0.165
2.630,-1.292
-1.178,-1.698
0.871,0.188
1.031,-0.110
-1.446,4.677
-1.191,-1.719
1.963,-2.421
-0.605,4.006
-4.556,-1.989
-1.788,-0.605
1.291,-3.780
3.372,4.892
1.920,-2.212
2.832,1.385
3.793,2.931
1.043,3.883
-6.139,-0.171
3.518,2.106
0.639,-1.967
2.446,3.313
-0.995,-2.933
2.570,-1.314
-0.352,-4.123
-0.926,2.798
4.077,0.316
-0.509,0.927
-3.725,-1.445
0.816,-2.904
2.037,-0.270
2.820,-1.063
-0.843,-0.629
-1.440,1.159
3.648,-1.414
1.886,-0.065
2.135,0.107
1.805,0.851
1.379,2.774
-0.490,-3.062
-3.460,-2.164
2.007,0.163
3.016,0.347
0.720,-4.956
-2.100,-0.073
-1.775,-1.059
0.963,-0.257
0.852,-0.043
-3.284,-2.304
-1.566,1.206
1.386,1.532
2.557,-2.894
-0.078,0.877
0.798,-1.606
-1.961,0.176
4.663,0.303
2.904,-2.724
-1.003,-3.905
0.236,1.117
-0.095,2.980
-2.124,-3.350
0.840,0.346
2.565,-1.552
-3.784,1.146
-2.665,1.522
-2.039,-2.108
0.575,-0.920
-0.286,1.966
-0.006,1.027
2.228,2.311
-0.206,0.730
-2.544,4.423
-0.379,3.969
-0.056,-1.951
1.236,1.444
1.009,-1.702
2.603,1.775
0.180,-1.059
-0.985,-1.817
1.073,-1.862
-0.832,0.375
-1.874,-2.476
1.604,-1.152
-0.454,-1.955
1.693,0.932
1.410,-1.445
-0.917,-2.820
0.015,1.911
-2.951,0.582
-4.330,4.046
1.007,1.603
2.347,-1.956
0.303,-1.924
-1.556,-1.326
-2.669,1.103
-4.111,0.064
1.539,2.766
3.653,-3.453
1.958,2.333
2.877,0.050
-6.155,-0.403
-1.867,0.769
1.229,1.620
-2.535,-3.220
-0.073,1.049
-1.103,-2.798
4.326,2.376
4.909,-0.324
1.115,0.542
-3.891,2.928
1.352,-3.971
3.866,-1.594
-5.469,-2.426
2.417,2.980
-3.968,-0.570
-0.765,-0.757
-1.554,-1.554
-3.765,-0.808
1.489,3.826
3.776,-0.386
0.209,-1.070
-1.730,-2.328
0.378,1.153
-2.965,-0.697
2.723,1.226
2.675,3.080
-1.339,1.507
-2.074,-3.406
-0.266,-1.859
1.902,-0.902
-0.065,-1.126
0.969,0.117
-2.122,3.327
0.015,-3.066
-1.577,1.002
-0.332,-1.947
-1.642,-2.601
1.102,1.632
-0.983,1.829
-0.663,-0.923
-1.907,3.584
0.118,5.957
-1.936,3.521
-5.409,-4.415
1.904,0.411
3.930,-0.373
1.653,-1.288
3.170,0.135
0.237,4.020
-2.436,1.438
0.411,-1.924
2.408,1.625
-1.294,-1.461
-2.056,4.468
1.605,-1.134
-0.766,-1.877
0.971,1.672
0.952,0.051
-2.611,-4.328
1.872,0.491
-0.778,3.802
-2.032,2.168
2.989,6.386
-1.186,3.637
-0.351,0.731
-0.837,-0.788
1.792,0.453
-1.130,-1.634
-1.235,-4.674
-0.541,2.873
1.819,2.466
1.422,-1.584
2.206,4.595
4.132,0.699
-0.995,-3.809
0.673,1.787
-1.786,-2.533
1.974,-0.129
2.592,4.494
2.200,-2.099
2.853,4.190
5.326,-2.296
3.795,-3.608
-3.825,1.227
-4.232,-2.456
0.202,0.932
-3.851,3.039
1.873,0.721
1.727,0.805
-4.852,-1.270
-1.720,0.962
-0.328,-7.023
-0.353,-2.027
2.218,5.524
2.179,-1.852
0.710,0.714
3.977,-1.048
2.804,-0.652
-3.092,-0.313
-2.407,-3.211
6.854,3.438
3.056,2.645
-1.070,1.742
-2.829,1.269
-0.897,-2.841
-1.514,1.337
0.618,2.048
0.666,-0.751
