x,y
-6.000,2.017
4.000,-3.980
5.000,-2.952
-5.000,3.989
-5.000,-3.010
-6.000,6.939
-1.000,-3.944
-2.000,-4.967
7.000,-5.023
7.000,2.985
-2.000,0.951
-3.000,-0.013
8.000,1.968
3.000,-2.951
0.000,-5.093
4.000,6.015
7.000,3.985
-3.000,1.984
-4.000,-3.012
-6.000,-8.038
7.000,-1.032
2.000,-3.113
-6.000,6.099
-6.000,-0.047
6.000,-6.015
-8.000,-7.017
8.000,3.970
2.000,-8.008
2.000,-0.005
-1.000,-2.950
1.000,-0.011
3.000,3.905
3.000,1.946
-4.000,-3.987
4.000,0.009
2.000,4.126
6.000,4.009
-7.000,-1.060
5.000,1.008
7.000,-7.862
-2.000,6.897
5.000,6.010
7.000,0.993
4.000,6.061
-7.000,-4.063
2.000,5.049
-6.000,4.104
-2.000,-7.055
-6.000,-0.091
-2.000,-5.983
8.000,4.013
-2.000,1.013
5.000,2.058
-4.000,-1.972
7.000,0.047
-4.000,0.036
-3.000,1.971
-2.000,4.015
-8.000,-3.033
-4.000,8.038
4.000,-7.011
7.000,4.957
5.000,0.936
-3.000,-0.957
-1.000,-4.913
-3.000,-4.044
3.000,-1.972
8.000,-0.053
-2.000,-1.987
4.000,-6.981
2.000,-2.059
-6.000,0.988
-3.000,-3.057
3.000,-1.016
-3.000,4.047
-3.000,0.951
4.000,-2.049
-3.000,4.034
0.000,3.057
-1.000,1.050
-6.000,-1.995
-5.000,6.993
-6.000,-3.010
1.000,-1.966
7.000,-2.004
5.000,1.020
-6.000,6.052
1.000,3.015
7.000,-5.979
5.000,-0.966
5.000,0.072
-8.000,-5.045
6.000,5.011
-3.000,1.989
3.000,-6.951
7.000,6.029
2.000,5.979
-3.000,-0.034
1.000,3.997
-8.000,-5.013
-6.000,5.018
-5.000,5.962
-6.000,6.962
-3.000,4.953
6.000,-2.977
8.000,-1.047
3.000,1.925
2.000,-3.932
7.000,7.048
2.000,-1.966
3.000,-2.030
4.000,-2.949
8.000,3.996
-1.000,-5.991
-7.000,7.010
1.000,-5.956
8.000,-1.003
8.000,-2.914
-5.000,-4.073
-5.000,5.023
-1.000,2.984
8.000,2.006
-1.000,5.917
1.000,1.019
-4.000,-7.977
8.000,-3.958
1.000,4.972
1.000,-4.987
6.000,-3.090
-1.000,-7.029
0.000,2.960
7.000,-2.055
2.000,5.009
1.000,4.968
-3.000,3.092
-5.000,-7.983
4.000,2.055
6.000,-2.850
2.000,0.035
0.000,-6.022
3.000,-7.997
4.000,-0.905
3.000,7.019
7.000,8.065
3.000,-2.041
-8.000,3.003
-7.000,2.949
-4.000,-2.959
6.000,3.989
3.000,6.963
4.000,2.000
4.000,-0.987
1.000,5.035
-8.000,5.006
-6.000,-2.962
-5.000,1.026
3.000,-0.968
5.000,6.035
-3.000,3.081
-2.000,1.978
-7.000,2.006
6.000,0.031
-1.000,5.997
-4.000,6.012
-4.000,-7.062
5.000,1.910
7.000,0.994
-7.000,1.980
-7.000,-2.090
-6.000,2.970
-2.000,-3.085
-6.000,-2.968
-5.000,2.010
-5.000,0.998
-3.000,-0.989
-5.000,-1.962
-1.000,3.032
-1.000,6.975
5.000,-7.987
-3.000,7.050
-4.000,4.014
-1.000,-2.017
-5.000,-2.995
-4.000,-8.000
2.000,-1.943
-6.000,7.979
8.000,-5.010
-8.000,-8.023
-7.000,4.010
2.000,-5.974
1.000,-6.989
3.000,-2.968
-1.000,6.014
-5.000,-5.980
3.000,0.932
5.000,-5.003
1.000,4.034
-7.000,0.929
-8.000,8.054
3.000,-2.024
7.000,-2.982
-2.000,-1.029
-7.000,5.000
1.000,-8.078
-4.000,1.995
-7.000,-4.981
-4.000,-3.011
-7.000,7.038
1.000,-4.987
-2.000,-4.951
-4.000,-4.026
5.000,3.028
4.000,-6.995
6.000,-7.015
-6.000,-0.942
2.000,-5.998
-5.000,-1.938
-7.000,-0.997
-2.000,7.042
1.000,3.075
-7.000,-6.009
7.000,6.064
0.000,3.993
-2.000,-3.012
7.000,-2.951
-0.000,3.953
-8.000,-6.933
3.000,-3.993
4.000,-5.069
5.000,-1.031
5.000,-4.895
6.000,-6.003
8.000,4.030
7.000,1.014
-4.000,2.971
-1.000,5.971
6.000,8.011
-0.000,-7.061
-4.000,-0.917
-3.000,-6.020
5.000,-0.042
-4.000,6.996
7.000,2.069
2.000,6.947
-2.000,-7.971
-7.000,-5.053
-1.000,5.956
-2.000,-5.985
-5.000,-8.031
5.000,-0.949
4.000,-1.993
2.000,-4.035
-5.000,8.018
-6.000,4.960
5.000,7.956
6.000,-4.021
0.000,0.098
6.000,6.963
6.000,1.027
5.000,-3.057
6.000,-2.998
1.000,-6.940
3.000,6.990
-4.000,-6.083
-7.000,-2.039
4.000,0.026
-1.000,1.029
-3.000,-4.016
3.000,7.062
7.000,5.998
-8.000,-4.964
-5.000,2.945
2.000,0.907
6.000,-7.953
2.000,1.031
-7.000,2.015
7.000,0.955
-3.000,1.027
-7.000,-2.053
-3.000,-3.972
-4.000,-6.971
2.000,4.027
-6.000,7.080
-3.000,-3.989
1.000,-1.006
4.000,1.008
6.000,-6.071
8.000,-2.880
3.000,-2.086
-6.000,-1.020
3.000,-6.979
-1.000,5.057
-3.000,6.034
-2.000,-6.017
-7.000,4.966
1.000,-1.945
0.000,4.912
-1.000,1.037
-8.000,1.962
-6.000,3.092
9.892,1.998
0.350,7.952
1.962,5.353
0.677,0.050
1.938,3.993
6.295,0.007
8.709,3.296
8.513,0.019
