x,y
-0.410,0.111
-0.194,-0.316
-2.549,1.820
-0.783,-0.269
-0.642,0.565
0.271,-1.170
-0.022,0.513
-0.160,-0.114
0.142,0.222
0.005,0.017
0.305,0.085
-0.001,-0.034
0.681,-1.094
0.057,-0.069
0.854,0.954
-0.114,-0.037
-0.600,0.041
-0.150,0.032
-0.125,-0.653
0.022,-0.005
-1.265,-0.143
-0.019,-0.041
-0.266,0.055
-0.278,-0.630
0.888,-0.601
0.904,0.235
0.608,0.484
0.564,0.100
0.395,-2.648
0.573,-0.270
0.317,-0.028
1.073,0.314
0.054,0.265
1.146,-0.999
0.192,-1.345
-1.883,1.191
0.541,0.194
-0.128,0.025
-1.059,-0.096
0.218,-0.600
-1.534,1.050
0.025,-0.566
1.623,0.762
-0.147,0.824
1.508,3.243
-0.216,0.252
1.144,0.163
-1.341,-0.134
-0.198,0.079
-0.867,0.860
-0.666,1.073
-0.186,0.016
-0.357,-0.963
-1.048,2.113
0.095,-0.176
-0.190,-0.093
0.021,0.025
-0.072,0.188
-0.042,0.146
0.662,0.683
0.231,-1.876
0.016,0.049
0.481,1.313
-0.015,0.017
-0.307,-0.757
-0.662,-2.660
-0.140,0.351
0.009,0.099
0.767,0.295
1.974,0.923
0.719,1.861
0.461,-0.482
-0.007,-1.561
-0.041,-0.034
-0.176,-0.052
1.040,-0.257
-0.003,0.449
-1.363,0.715
-0.128,1.365
-0.380,0.340
1.365,1.210
-1.248,-0.730
0.028,-0.528
0.125,-0.233
0.239,-0.734
-0.142,0.556
-0.001,1.306
3.305,-1.268
-0.046,-0.036
0.064,0.012
1.503,0.511
1.943,1.877
0.256,0.057
-0.719,-2.669
-0.028,-0.088
-0.116,-0.010
0.595,0.119
0.469,-1.301
-0.169,-0.027
-0.763,-0.684
-0.841,-1.173
-0.307,0.967
-0.664,1.725
-0.242,-0.099
-0.490,0.477
0.316,-0.586
-0.556,0.046
0.563,-0.888
0.135,0.352
0.232,-0.486
-1.911,-0.277
1.459,1.937
0.633,1.569
-0.187,-0.233
0.014,0.001
-0.418,1.772
-0.085,-0.141
-0.024,-0.011
-2.817,-4.896
-0.017,-0.518
1.447,0.225
0.198,-0.015
1.302,1.456
0.467,0.059
0.613,0.093
0.888,-0.261
0.096,0.031
0.258,-1.283
-0.031,-0.130
-0.298,-1.036
0.446,-0.360
0.058,-0.440
-0.308,0.297
0.139,-0.473
-0.343,-0.248
-0.027,-0.203
1.178,0.051
-0.228,0.075
-0.206,0.242
0.685,0.434
0.011,1.250
0.737,-0.092
-0.916,0.142
1.200,-0.404
-0.592,0.735
0.092,-0.035
0.078,-0.006
-4.561,0.060
0.054,0.145
