,x
0,11.376474658733386
1,28.51646686448173
2,37.18297418336987
3,26.00061093077344
4,21.37165999886379
5,27.973286821543674
6,21.474064126231237
7,30.61290532723243
8,25.39604422833906
9,36.644001039972025
10,29.49602198792745
11,19.70892250723469
12,30.337050271067735
13,32.98809360184889
14,20.95235316164188
15,22.093644780038957
16,7.05853381119034
17,32.72724791172348
18,20.797964928401655
19,8.521204223738469
20,11.349826399362478
21,23.71639874843599
22,31.585279763448852
23,24.787483049519807
24,29.274222073014254
25,16.68800298619943
26,14.76907498342016
27,32.58576645333177
28,29.437155673398543
29,25.25592920046874
30,35.75674100014178
31,17.890476335298153
32,22.13786942554111
33,33.71097064650213
34,40.202355137585
35,25.567404799732262
36,38.93615526081064
37,20.67991508045353
38,28.13799878502181
39,24.10941133586549
40,12.794012348876848
41,27.56378268034286
42,32.96199754494713
43,24.313863808470295
44,24.936358997948393
45,36.64341853543456
46,15.50229143839667
47,13.51929345258178
48,20.267686843358778
49,15.92701771143363
